Time_ms,Voltage_V,Pos_X,Pos_Y,Pos_Z,Vel_X,Vel_Y,Vel_Z
0,4.99,0.00,0.00,0.00,5.00,0.00,0.00
100,4.98,0.50,0.00,0.00,5.00,0.00,0.00
200,4.97,1.00,0.00,0.00,5.00,0.00,0.00
300,4.96,1.50,0.00,0.00,5.00,0.00,0.00
401,4.95,2.00,0.00,0.00,5.00,0.00,0.00
501,4.94,2.50,0.00,0.00,5.00,0.00,0.00
601,4.93,3.00,0.00,0.00,5.00,0.00,0.00
701,4.92,3.50,0.00,0.00,5.00,0.00,0.00
801,4.91,4.00,0.00,0.00,5.00,0.00,0.00
902,4.90,4.50,0.00,0.00,5.00,0.00,0.00
1001,4.89,5.00,0.00,0.00,5.00,0.00,0.00
1101,4.88,5.50,0.00,0.00,5.00,0.00,0.00
1201,4.87,6.00,0.00,0.00,5.00,0.00,0.00
1301,4.86,6.50,0.00,0.00,5.00,0.00,0.00
1403,4.85,7.00,0.00,0.00,5.00,0.00,0.00
1503,4.84,7.50,0.00,0.00,5.00,0.00,0.00
1603,4.83,8.00,0.00,0.00,5.00,0.00,0.00
1703,4.82,8.50,0.00,0.00,5.00,0.00,0.00
1803,4.81,9.00,0.00,0.00,5.00,0.00,0.00
1903,4.80,9.50,0.00,0.00,5.00,0.00,0.00
2002,4.79,10.00,0.00,0.00,5.00,0.00,0.00
2102,4.78,10.50,0.00,0.00,5.00,0.00,0.00
2202,4.77,11.00,0.00,0.00,5.00,0.00,0.00
2302,4.76,11.50,0.00,0.00,5.00,0.00,0.00
2403,4.75,12.00,0.00,0.00,5.00,0.00,0.00
2503,4.74,12.50,0.00,0.00,5.00,0.00,0.00
2604,4.73,13.00,0.00,0.00,5.00,0.00,0.00
2704,4.72,13.50,0.00,0.00,5.00,0.00,0.00
2804,4.71,14.00,0.00,0.00,5.00,0.00,0.00
2904,4.70,14.50,0.00,0.00,5.00,0.00,0.00
3003,4.69,15.00,0.00,0.00,5.00,0.00,0.00
3103,4.68,15.50,0.00,0.00,5.00,0.00,0.00
3203,4.67,16.00,0.00,0.00,5.00,0.00,0.00
3303,4.66,16.50,0.00,0.00,5.00,0.00,0.00
3404,4.65,17.00,0.00,0.00,5.00,0.00,0.00
3504,4.64,17.50,0.00,0.00,5.00,0.00,0.00
3604,4.63,18.00,0.00,0.00,5.00,0.00,0.00
3704,4.62,18.50,0.00,0.00,5.00,0.00,0.00
3805,4.61,19.00,0.00,0.00,5.00,0.00,0.00
3905,4.60,19.50,0.00,0.00,5.00,0.00,0.00
4004,4.59,20.00,0.00,0.00,5.00,0.00,0.00
4104,4.58,20.50,0.00,0.00,5.00,0.00,0.00
4204,4.57,21.00,0.00,0.00,5.00,0.00,0.00
4304,4.56,21.50,0.00,0.00,5.00,0.00,0.00
4405,4.55,22.00,0.00,0.00,5.00,0.00,0.00
4505,4.54,22.50,0.00,0.00,5.00,0.00,0.00
4605,4.53,23.00,0.00,0.00,5.00,0.00,0.00
4705,4.52,23.50,0.00,0.00,5.00,0.00,0.00
4805,4.51,24.00,0.00,0.00,5.00,0.00,0.00
4905,4.50,24.50,0.00,0.00,5.00,0.00,0.00
5004,4.49,25.00,0.00,0.00,5.00,0.00,0.00
5105,4.48,25.50,0.00,0.00,5.00,0.00,0.00
5205,4.47,26.00,0.00,0.00,5.00,0.00,0.00
5305,4.46,26.50,0.00,0.00,5.00,0.00,0.00
5406,4.45,27.00,0.00,0.00,5.00,0.00,0.00
5506,4.44,27.50,0.00,0.00,5.00,0.00,0.00
5606,4.43,28.00,0.00,0.00,5.00,0.00,0.00
5706,4.42,28.50,0.00,0.00,5.00,0.00,0.00
5806,4.41,29.00,0.00,0.00,5.00,0.00,0.00
